0 12 1 1 16.968 8.5515e+13 # 3s1 3p6 3d1 -> 3s2 3p5
0 13 1 1 14.53 3.4419e+14 # 3s1 3p6 4s1 -> 3s2 3p5
0 15 1 1 16.861 6.8315e+13 # 3s2 3p4 3d2 -> 3s2 3p5
0 16 1 1 17.028 8.4463e+13 # 3s1 3p6 5s1 -> 3s2 3p5
0 18 1 1 17.729 5.4417e+13 # 3s1 3p6 4d1 -> 3s2 3p5
0 20 1 1 18.088 3.1647e+13 # 3s1 3p6 5d1 -> 3s2 3p5
0 22 1 1 18.155 2.2956e+09 # 3s1 3p6 5g1 -> 3s2 3p5
0 14 1 1 16.006 1.457e+14 # 3s1 3p6 4p1 -> 3s2 3p5
0 17 1 1 17.442 4.8303e+13 # 3s1 3p6 5p1 -> 3s2 3p5
0 19 1 1 17.846 2.3617e+11 # 3s1 3p6 4f1 -> 3s2 3p5
0 21 1 1 18.153 1.9286e+11 # 3s1 3p6 5f1 -> 3s2 3p5
0 23 1 1 34.598 4.9677e+12 # 3s1 3p5 3d2 -> 3s2 3p5
0 23 1 2 15.898 4.294e+13 # 3s1 3p5 3d2 -> 3s1 3p6
0 23 1 4 15.592 1.2639e+15 # 3s1 3p5 3d2 -> 3s2 3p4 3d1
0 24 1 13 18.81 3.3708e+15 # 3p6 3d2 -> 3s1 3p5 3d1
0 24 1 2 36.889 1.2341e+13 # 3p6 3d2 -> 3s1 3p6
