8.33186e+01	1.48826e+01	3.30970e-02	1	2
6.59198e+01	1.88107e+01	3.35425e-01	1	3
6.31424e+01	1.96382e+01	2.85196e-01	1	4
5.04015e+01	2.46024e+01	5.02647e-02	1	6
4.92161e+01	2.51950e+01	2.10218e-01	1	7
4.58973e+01	2.70168e+01	3.10069e-01	1	10
4.51685e+01	2.74528e+01	4.92869e-02	1	12
3.01217e+01	4.11663e+01	4.55773e-04	1	16
2.82969e+01	4.38210e+01	2.21724e-03	1	19
2.78879e+01	4.44638e+01	4.93825e-04	1	20
2.71254e+01	4.57135e+01	7.26840e-03	1	22
2.37053e+01	5.23089e+01	1.82023e-04	1	24
2.14375e+01	5.78425e+01	8.05622e-04	1	25
2.07382e+01	5.97930e+01	1.38935e-04	1	26
1.89726e+01	6.53575e+01	1.63197e-05	1	28
1.88777e+01	6.56859e+01	1.50004e-04	1	29
1.83489e+01	6.75788e+01	1.71886e-03	1	32
1.86480e+02	6.64949e+00	1.02694e-02	2	5
1.16362e+02	1.06564e+01	6.10009e-03	2	8
1.09880e+02	1.12850e+01	5.04011e-03	2	9
9.89214e+01	1.25352e+01	4.77785e-03	2	11
5.88479e+01	2.10713e+01	4.95410e-01	2	13
5.55242e+01	2.23326e+01	2.37944e-02	2	14
4.97205e+01	2.49394e+01	1.33629e-01	2	15
4.42361e+01	2.80314e+01	4.35718e-02	2	17
4.35831e+01	2.84514e+01	1.24770e-01	2	18
4.08961e+01	3.03207e+01	7.70567e-02	2	21
4.01710e+01	3.08680e+01	8.28140e-07	2	23
2.61823e+01	4.73603e+01	9.30900e-04	2	27
2.41474e+01	5.13513e+01	5.78385e-04	2	30
1.95437e+01	6.34477e+01	4.04765e-04	2	35
4.55652e+02	2.72138e+00	9.93693e-02	3	5
1.84296e+02	6.72832e+00	7.36717e-03	3	8
1.68550e+02	7.35687e+00	1.20206e-01	3	9
1.44067e+02	8.60709e+00	4.20602e-02	3	11
7.23321e+01	1.71432e+01	6.91315e-02	3	13
6.73749e+01	1.84045e+01	2.72325e-01	3	14
5.90159e+01	2.10113e+01	1.95092e-02	3	15
5.14453e+01	2.41033e+01	1.76640e-03	3	17
5.05642e+01	2.45233e+01	4.72659e-02	3	18
4.69828e+01	2.63926e+01	3.79483e-02	3	21
4.60283e+01	2.69399e+01	5.02377e-03	3	23
2.85503e+01	4.34322e+01	1.00224e-03	3	27
2.61476e+01	4.74231e+01	7.49530e-05	3	30
