0	1	1	1	1.4668e+01	1.4814e+01	6.8150e-18	1.8641e+01	1.6134e-16	2.3456e+01	2.3305e-16	2.9514e+01	2.5447e-16	3.7138e+01	2.5078e-16	4.6730e+01	2.3445e-16	5.8801e+01	2.1241e-16	7.3989e+01	1.8855e-16	9.3100e+01	1.6498e-16	1.1715e+02	1.4284e-16	1.4741e+02	1.2266e-16	1.8548e+02	1.0465e-16	2.3339e+02	8.8804e-17	2.9368e+02	7.5024e-17	3.6953e+02	6.3137e-17	4.6499e+02	5.2957e-17	5.8509e+02	4.4290e-17	7.3622e+02	3.6944e-17	9.2638e+02	3.0746e-17	1.1657e+03	2.5534e-17	1.4668e+03	2.1208e-17	
0	1	1	2	2.9550e+01	2.9846e+01	8.4124e-19	3.7555e+01	1.4293e-17	4.7255e+01	2.0482e-17	5.9461e+01	2.2699e-17	7.4820e+01	2.2736e-17	9.4146e+01	2.1602e-17	1.1846e+02	1.9877e-17	1.4906e+02	1.7903e-17	1.8757e+02	1.5879e-17	2.3601e+02	1.3921e-17	2.9698e+02	1.2093e-17	3.7368e+02	1.0426e-17	4.7021e+02	8.9335e-18	5.9166e+02	7.6140e-18	7.4449e+02	6.4595e-18	9.3679e+02	5.4582e-18	1.1788e+03	4.5959e-18	1.4832e+03	3.8575e-18	1.8663e+03	3.2287e-18	2.3484e+03	2.6954e-18	2.9550e+03	2.2485e-18	
0	1	1	3	3.3478e+01	3.3813e+01	1.0000e-26	4.2547e+01	5.5882e-19	5.3537e+01	3.0566e-18	6.7365e+01	3.8945e-18	8.4766e+01	4.1213e-18	1.0666e+02	4.0296e-18	1.3421e+02	3.7730e-18	1.6888e+02	3.4380e-18	2.1250e+02	3.0750e-18	2.6739e+02	2.7130e-18	3.3645e+02	2.3685e-18	4.2336e+02	2.0504e-18	5.3271e+02	1.7629e-18	6.7031e+02	1.5068e-18	8.4345e+02	1.2816e-18	1.0613e+03	1.0853e-18	1.3355e+03	9.1557e-19	1.6804e+03	7.6981e-19	2.1144e+03	6.4531e-19	2.6606e+03	5.3949e-19	3.3478e+03	4.4992e-19	
0	1	1	7	3.9863e+01	4.0261e+01	1.0000e-26	5.0661e+01	4.3220e-19	6.3746e+01	9.2794e-19	8.0212e+01	1.0731e-18	1.0093e+02	1.0930e-18	1.2700e+02	1.0477e-18	1.5981e+02	9.6923e-19	2.0108e+02	8.7610e-19	2.5302e+02	7.7908e-19	3.1838e+02	6.8434e-19	4.0061e+02	5.9539e-19	5.0409e+02	5.1399e-19	6.3430e+02	4.4086e-19	7.9814e+02	3.7608e-19	1.0043e+03	3.1931e-19	1.2637e+03	2.7000e-19	1.5901e+03	2.2747e-19	2.0008e+03	1.9103e-19	2.5177e+03	1.5996e-19	3.1680e+03	1.3361e-19	3.9863e+03	1.1133e-19	
0	1	1	10	4.1684e+01	4.2101e+01	1.0000e-26	5.2976e+01	5.1089e-19	6.6660e+01	1.0065e-18	8.3878e+01	1.1535e-18	1.0554e+02	1.1709e-18	1.3281e+02	1.1202e-18	1.6711e+02	1.0352e-18	2.1027e+02	9.3505e-19	2.6459e+02	8.3105e-19	3.3293e+02	7.2970e-19	4.1892e+02	6.3465e-19	5.2713e+02	5.4775e-19	6.6329e+02	4.6971e-19	8.3462e+02	4.0062e-19	1.0502e+03	3.4009e-19	1.3215e+03	2.8753e-19	1.6628e+03	2.4221e-19	2.0923e+03	2.0338e-19	2.6327e+03	1.7030e-19	3.3128e+03	1.4222e-19	4.1684e+03	1.1850e-19	
0	1	1	14	5.1883e+01	5.2402e+01	1.0000e-26	6.5937e+01	1.0000e-26	8.2968e+01	1.3936e-19	1.0440e+02	2.1969e-19	1.3137e+02	2.4227e-19	1.6530e+02	2.3971e-19	2.0799e+02	2.2457e-19	2.6172e+02	2.0372e-19	3.2932e+02	1.8099e-19	4.1438e+02	1.5846e-19	5.2142e+02	1.3725e-19	6.5610e+02	1.1790e-19	8.2557e+02	1.0062e-19	1.0388e+03	8.5402e-20	1.3071e+03	7.2162e-20	1.6448e+03	6.0740e-20	2.0696e+03	5.0955e-20	2.6042e+03	4.2620e-20	3.2768e+03	3.5556e-20	4.1233e+03	2.9593e-20	5.1883e+03	2.4579e-20	
0	1	1	24	6.6977e+01	6.7646e+01	1.0000e-26	8.5119e+01	1.0000e-26	1.0711e+02	3.8047e-20	1.3477e+02	7.5951e-20	1.6958e+02	8.7170e-20	2.1338e+02	8.8531e-20	2.6850e+02	8.4726e-20	3.3786e+02	7.8307e-20	4.2512e+02	7.0740e-20	5.3493e+02	6.2876e-20	6.7311e+02	5.5212e-20	8.4697e+02	4.8023e-20	1.0657e+03	4.1449e-20	1.3410e+03	3.5546e-20	1.6874e+03	3.0316e-20	2.1233e+03	2.5737e-20	2.6717e+03	2.1760e-20	3.3618e+03	1.8331e-20	4.2301e+03	1.5393e-20	5.3228e+03	1.2888e-20	6.6977e+03	1.0764e-20	
0	2	1	1	2.8367e+00	2.8651e+00	2.9797e-17	3.6051e+00	7.6043e-16	4.5364e+00	1.1570e-15	5.7081e+00	1.2788e-15	7.1825e+00	1.2743e-15	9.0377e+00	1.2048e-15	1.1372e+01	1.1039e-15	1.4310e+01	9.9064e-16	1.8006e+01	8.7600e-16	2.2657e+01	7.6607e-16	2.8509e+01	6.6407e-16	3.5873e+01	5.7156e-16	4.5138e+01	4.8899e-16	5.6798e+01	4.1623e-16	7.1468e+01	3.5274e-16	8.9929e+01	2.9778e-16	1.1316e+02	2.5052e-16	1.4239e+02	2.1012e-16	1.7916e+02	1.7576e-16	2.2544e+02	1.4665e-16	2.8367e+02	1.2296e-16	
0	2	1	3	2.1647e+01	2.1864e+01	1.8356e-20	2.7511e+01	1.0938e-18	3.4618e+01	1.7390e-18	4.3559e+01	1.9228e-18	5.4811e+01	1.9046e-18	6.8968e+01	1.7854e-18	8.6782e+01	1.6203e-18	1.0920e+02	1.4398e-18	1.3740e+02	1.2608e-18	1.7290e+02	1.0922e-18	2.1755e+02	9.3829e-19	2.7375e+02	8.0080e-19	3.4446e+02	6.7975e-19	4.3343e+02	5.7440e-19	5.4539e+02	4.8350e-19	6.8626e+02	4.0562e-19	8.6352e+02	3.3929e-19	1.0866e+03	2.8305e-19	1.3672e+03	2.3559e-19	1.7204e+03	1.9568e-19	2.1647e+03	1.6244e-19	
0	2	1	4	2.2475e+01	2.2700e+01	1.6339e-18	2.8563e+01	1.5591e-17	3.5941e+01	2.1477e-17	4.5224e+01	2.2995e-17	5.6906e+01	2.2431e-17	7.1604e+01	2.0843e-17	9.0099e+01	1.8808e-17	1.1337e+02	1.6648e-17	1.4266e+02	1.4537e-17	1.7950e+02	1.2566e-17	2.2587e+02	1.0777e-17	2.8421e+02	9.1847e-18	3.5762e+02	7.7873e-18	4.5000e+02	6.5738e-18	5.6623e+02	5.5287e-18	7.1249e+02	4.6346e-18	8.9652e+02	3.8741e-18	1.1281e+03	3.2301e-18	1.4195e+03	2.6870e-18	1.7861e+03	2.2307e-18	2.2475e+03	1.9287e-18	
