1 0.0 2 -0.388065 3 0 2 0.0 0 0.0 0 3 1 6 0.0 0 0.0 0 0 0 0 0.0 0 0.0 0 
2 2.0 3 11.352434 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 4 0 1 0.5 0 1.0 1 
3 1.0 3 11.416715 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 4 0 1 0.5 0 1.0 1 
4 0.0 3 11.516829 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 4 0 1 0.5 0 1.0 1 
5 1.0 3 11.594853 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 4 0 1 0.5 0 0.0 1 
6 1.0 3 12.723950 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 4 1 1 0.5 1 1.0 0 
7 3.0 3 12.854263 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 4 1 1 0.5 1 1.0 2 
8 2.0 3 12.869845 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 4 1 1 0.5 1 1.0 2 
9 1.0 3 12.919756 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 4 1 1 0.5 1 1.0 2 
10 2.0 3 12.928729 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 4 1 1 0.5 1 1.0 1 
11 0.0 3 13.025026 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 4 1 1 0.5 1 1.0 1 
12 1.0 3 13.043421 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 4 1 1 0.5 1 0.0 1 
13 2.0 3 13.055818 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 4 1 1 0.5 1 0.0 2 
14 1.0 3 13.075635 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 4 1 1 0.5 1 1.0 1 
15 0.0 3 13.249623 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 4 1 1 0.5 1 0.0 0 
16 0.0 3 13.626074 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 3 2 1 0.5 2 1.0 1 
17 1.0 3 13.636951 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 3 2 1 0.5 2 1.0 1 
18 2.0 3 13.659261 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 3 2 1 0.5 2 1.0 1 
19 3.0 3 13.685296 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 3 2 1 0.5 2 0.0 3 
20 3.0 3 13.717221 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 3 2 1 0.5 2 1.0 2 
21 2.0 3 13.732661 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 3 2 1 0.5 2 0.0 2 
22 4.0 3 13.738817 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 3 2 1 0.5 2 1.0 3 
23 1.0 3 13.759098 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 3 2 1 0.5 2 1.0 2 
24 2.0 3 13.849538 3 0 2 0.0 0 0.0 0 3 1 5 0.5 1 0.5 1 3 2 1 0.5 2 1.0 2 
