1	1	2	3	  2.7212E+01  2.7485E+01  1.6799E-19  3.4584E+01  3.0816E-18  4.3517E+01  3.8445E-18  5.4757E+01  3.6994E-18  6.8901E+01  3.4294E-18  8.6698E+01  3.2103E-18  1.0909E+02  3.0083E-18  1.3727E+02  2.7762E-18  1.7273E+02  2.5005E-18  2.1734E+02  2.1932E-18  2.7348E+02  1.8758E-18  3.4412E+02  1.5689E-18  4.3301E+02  1.2870E-18  5.4485E+02  1.0383E-18  6.8559E+02  8.2575E-19  8.6267E+02  6.4856E-19  1.0855E+03  5.0378E-19  1.3659E+03  3.8742E-19  1.7187E+03  2.9516E-19  2.1626E+03  2.2286E-19  2.7212E+03  1.6676E-19
1	1	2	5	  3.0863E+01  3.1172E+01  2.8654E-19  3.9224E+01  5.0565E-18  4.9355E+01  6.3379E-18  6.2103E+01  6.2039E-18  7.8145E+01  5.8416E-18  9.8329E+01  5.5138E-18  1.2373E+02  5.1784E-18  1.5569E+02  4.7766E-18  1.9590E+02  4.2986E-18  2.4650E+02  3.7701E-18  3.1017E+02  3.2287E-18  3.9029E+02  2.7078E-18  4.9110E+02  2.2306E-18  6.1795E+02  1.8100E-18  7.7757E+02  1.4501E-18  9.7841E+02  1.1493E-18  1.2311E+03  9.0245E-19  1.5491E+03  7.0299E-19  1.9493E+03  5.4378E-19  2.4528E+03  4.1798E-19  3.0863E+03  3.1942E-19
1	1	2	101	  6.0015E+01  6.0615E+01  2.8196E-21  7.6272E+01  4.4836E-20  9.5973E+01  6.0918E-20  1.2076E+02  6.8334E-20  1.5195E+02  7.2086E-20  1.9120E+02  7.2559E-20  2.4059E+02  6.9745E-20  3.0274E+02  6.4222E-20  3.8093E+02  5.6950E-20  4.7933E+02  4.8911E-20  6.0314E+02  4.0892E-20  7.5893E+02  3.3424E-20  9.5496E+02  2.6799E-20  1.2016E+03  2.1134E-20  1.5120E+03  1.6423E-20  1.9026E+03  1.2592E-20  2.3940E+03  9.5336E-21  3.0124E+03  7.1289E-21  3.7904E+03  5.2632E-21  4.7695E+03  3.8331E-21  6.0015E+03  2.7491E-21
1	1	2	775	  8.3221E+01  8.4053E+01  5.5964E-22  1.0576E+02  8.6958E-21  1.3308E+02  1.2939E-20  1.6746E+02  1.6041E-20  2.1071E+02  1.8057E-20  2.6514E+02  1.8754E-20  3.3362E+02  1.8205E-20  4.1980E+02  1.6724E-20  5.2823E+02  1.4694E-20  6.6468E+02  1.2450E-20  8.3636E+02  1.0238E-20  1.0524E+03  8.2074E-21  1.3242E+03  6.4356E-21  1.6663E+03  4.9459E-21  2.0967E+03  3.7292E-21  2.6382E+03  2.7587E-21  3.3197E+03  1.9999E-21  4.1772E+03  1.4170E-21  5.2561E+03  9.7663E-22  6.6138E+03  6.4927E-22  8.3221E+03  4.0997E-22
1	1	2	882	  8.5730E+01  8.6587E+01  1.0616E-21  1.0895E+02  1.6533E-20  1.3710E+02  2.4832E-20  1.7251E+02  3.1059E-20  2.1707E+02  3.5160E-20  2.7313E+02  3.6625E-20  3.4368E+02  3.5598E-20  4.3246E+02  3.2709E-20  5.4416E+02  2.8725E-20  6.8472E+02  2.4315E-20  8.6158E+02  1.9965E-20  1.0841E+03  1.5976E-20  1.3642E+03  1.2497E-20  1.7165E+03  9.5762E-21  2.1599E+03  7.1940E-21  2.7178E+03  5.2970E-21  3.4198E+03  3.8170E-21  4.3031E+03  2.6831E-21  5.4146E+03  1.8290E-21  6.8132E+03  1.1965E-21  8.5730E+03  7.3630E-22
1	1	2	2	  2.7159E+01  2.7431E+01  7.5742E-19  3.4516E+01  1.3904E-17  4.3432E+01  1.7344E-17  5.4650E+01  1.6686E-17  6.8767E+01  1.5465E-17  8.6529E+01  1.4475E-17  1.0888E+02  1.3564E-17  1.3700E+02  1.2518E-17  1.7239E+02  1.1275E-17  2.1692E+02  9.8887E-18  2.7295E+02  8.4575E-18  3.4345E+02  7.0731E-18  4.3216E+02  5.8015E-18  5.4379E+02  4.6799E-18  6.8425E+02  3.7212E-18  8.6100E+02  2.9221E-18  1.0834E+03  2.2693E-18  1.3632E+03  1.7447E-18  1.7153E+03  1.3288E-18  2.1584E+03  1.0029E-18  2.7159E+03  7.5013E-19
1	1	2	774	  8.3204E+01  8.4036E+01  2.5328E-21  1.0574E+02  3.9355E-20  1.3306E+02  5.8554E-20  1.6742E+02  7.2587E-20  2.1067E+02  8.1708E-20  2.6509E+02  8.4861E-20  3.3356E+02  8.2376E-20  4.1971E+02  7.5675E-20  5.2813E+02  6.6488E-20  6.6454E+02  5.6336E-20  8.3619E+02  4.6325E-20  1.0522E+03  3.7139E-20  1.3240E+03  2.9122E-20  1.6659E+03  2.2381E-20  2.0962E+03  1.6876E-20  2.6377E+03  1.2484E-20  3.3190E+03  9.0507E-21  4.1763E+03  6.4132E-21  5.2551E+03  4.4204E-21  6.6124E+03  2.9390E-21  8.3204E+03  1.8561E-21
1	1	2	1	  2.7033E+01  2.7303E+01  2.1356E-18  3.4356E+01  3.9266E-17  4.3230E+01  4.8977E-17  5.4396E+01  4.7090E-17  6.8446E+01  4.3620E-17  8.6126E+01  4.0818E-17  1.0837E+02  3.8246E-17  1.3636E+02  3.5297E-17  1.7159E+02  3.1792E-17  2.1591E+02  2.7884E-17  2.7168E+02  2.3845E-17  3.4185E+02  1.9939E-17  4.3015E+02  1.6350E-17  5.4126E+02  1.3185E-17  6.8106E+02  1.0480E-17  8.5698E+02  8.2253E-18  1.0783E+03  6.3841E-18  1.3569E+03  4.9049E-18  1.7074E+03  3.7327E-18  2.1484E+03  2.8147E-18  2.7033E+03  2.1030E-18
1	1	2	4	  2.8697E+01  2.8984E+01  1.5820E-18  3.6470E+01  2.8515E-17  4.5890E+01  3.5636E-17  5.7744E+01  3.4532E-17  7.2659E+01  3.2213E-17  9.1427E+01  3.0252E-17  1.1504E+02  2.8370E-17  1.4476E+02  2.6175E-17  1.8215E+02  2.3569E-17  2.2920E+02  2.0677E-17  2.8840E+02  1.7701E-17  3.6289E+02  1.4828E-17  4.5663E+02  1.2192E-17  5.7457E+02  9.8670E-18  7.2298E+02  7.8777E-18  9.0973E+02  6.2165E-18  1.1447E+03  4.8561E-18  1.4404E+03  3.7593E-18  1.8124E+03  2.8865E-18  2.2806E+03  2.1995E-18  2.8697E+03  1.6638E-18
1	1	2	773	  8.3163E+01  8.3994E+01  7.1136E-21  1.0569E+02  1.1053E-19  1.3299E+02  1.6442E-19  1.6734E+02  2.0380E-19  2.1056E+02  2.2939E-19  2.6495E+02  2.3822E-19  3.3339E+02  2.3124E-19  4.1950E+02  2.1243E-19  5.2786E+02  1.8664E-19  6.6421E+02  1.5815E-19  8.3577E+02  1.3005E-19  1.0517E+03  1.0426E-19  1.3233E+03  8.1759E-20  1.6651E+03  6.2838E-20  2.0952E+03  4.7384E-20  2.6364E+03  3.5056E-20  3.3174E+03  2.5417E-20  4.1742E+03  1.8012E-20  5.2524E+03  1.2418E-20  6.6091E+03  8.2583E-21  8.3163E+03  5.2176E-21
